R,S,G,H
-1.3735380465362572,-0.9730290701014285,-2.193255288612396,-1.1395832377702555
0.20115452785342672,-0.221249203642757,-0.1668653232642903,0.49917804400645194
0.26810836559987256,0.2434386240463673,-0.044894368522906944,-0.5447080580320897
0.00427726497540595,-0.41290533091861337,-0.0008301621187767418,-0.0035089765497871702
0.00022825435658743975,-0.0012320514015793553,-0.19147077446349114,0.0002386944830826407
0.0004135059194820475,0.0,-2.4153935775580136e-05,0.0
0.0,0.0,0.023010445368031443,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
